Student_ID,Age,Gender,University_Year,Sleep_Duration,Study_Hours,Screen_Time,Caffeine_Intake,Physical_Activity
1,24,Other,2nd Year,7.7,7.9,3.4,2,37
2,21,Male,1st Year,6.3,6,1.9,5,74
3,22,Male,4th Year,5.1,6.7,3.9,5,53
4,24,Other,4th Year,6.3,8.6,2.8,4,55
5,20,Male,4th Year,4.7,2.7,2.7,0,85
6,25,Other,1st Year,4.9,12,3.2,3,96
7,22,Female,2nd Year,6.5,11.7,3.4,1,99
8,22,Male,2nd Year,6.1,7.8,3,1,108
9,24,Female,1st Year,8.6,2.4,1.4,1,86
10,19,Other,2nd Year,5.8,8.2,2,3,44
11,20,Female,1st Year,6.9,0.9,3.8,5,108
12,24,Female,2nd Year,7.2,0.4,1.7,0,33
13,20,Other,3rd Year,4.1,3.1,2.1,3,8
14,20,Female,3rd Year,7.3,5.6,2.3,1,87
15,25,Female,4th Year,4.9,10.4,2.3,4,7
16,22,Other,3rd Year,8.8,8.7,2.8,2,6
17,21,Female,3rd Year,4.7,8.9,3.8,3,35
18,25,Other,3rd Year,6.1,5.1,1.7,3,17
19,25,Female,1st Year,4.4,4.2,1.4,0,2
20,20,Other,3rd Year,9,4.5,1.6,0,27
21,23,Other,3rd Year,6.5,11.9,3.7,3,69
22,22,Female,4th Year,7,0.5,2.9,1,107
23,19,Female,3rd Year,4.3,10.4,1.9,2,43
24,25,Female,3rd Year,7.7,6.9,3.4,0,20
25,21,Male,2nd Year,5,5.3,3.6,1,27
26,23,Male,4th Year,8.5,8.7,3.5,4,103
27,23,Male,4th Year,5,5.8,3.8,0,53
28,19,Other,4th Year,5,10.5,1.8,1,53
29,25,Female,4th Year,4.2,10.8,3.3,1,64
30,21,Other,4th Year,6.4,5.1,2.4,2,99
31,22,Male,4th Year,6.8,3.3,3.5,2,20
32,18,Female,1st Year,4.3,7.1,3.2,4,106
33,21,Other,3rd Year,7.9,10.9,3.3,1,98
34,19,Female,4th Year,6.3,2.5,3,5,12
35,23,Other,3rd Year,6.6,7.5,1.5,1,56
36,22,Female,3rd Year,6.2,7.6,2.6,2,48
37,21,Male,1st Year,6,8.8,4,5,117
38,18,Male,4th Year,6.8,1.6,3.8,0,53
39,18,Female,2nd Year,4.8,8.6,1.1,0,9
40,20,Other,1st Year,4.9,10.9,1.5,3,52
41,20,Male,2nd Year,8.3,2.2,1.4,2,43
42,24,Male,3rd Year,8.7,2.9,3.2,3,46
43,19,Male,3rd Year,5.9,11.7,3.5,5,52
44,25,Female,1st Year,5.4,2.2,1.6,2,73
45,21,Female,1st Year,7.2,10.3,2.5,4,45
46,21,Other,2nd Year,6,5.9,3.5,1,12
47,25,Other,4th Year,4.1,3,3.2,4,36
48,24,Other,2nd Year,4.8,10.4,2.6,5,101
49,23,Female,1st Year,7.6,5.3,2.8,2,23
50,23,Female,2nd Year,7.3,6.2,2.5,5,1
51,24,Other,1st Year,4.1,4.3,1.9,1,85
52,23,Other,2nd Year,5.1,7.1,2.7,0,80
53,20,Female,1st Year,5.2,2,3.1,0,99
54,21,Other,1st Year,7.4,4.7,3.6,5,13
55,24,Male,1st Year,4.1,11.6,2.9,3,9
56,21,Female,4th Year,4.5,3.1,3.3,2,34
57,25,Other,2nd Year,8,7.9,1.5,2,24
58,18,Female,2nd Year,4.9,3.9,2.4,0,2
59,20,Male,2nd Year,7.3,9.3,1,4,110
60,22,Female,1st Year,5.2,1.6,1.7,1,101
61,20,Female,2nd Year,4.5,11.6,3.2,4,16
62,24,Female,2nd Year,5.2,5.4,4,4,11
63,22,Female,1st Year,7.6,2.8,1.3,5,53
64,18,Male,3rd Year,8.3,0.9,2.2,0,115
65,24,Female,1st Year,8.2,2,3.4,0,23
66,19,Female,2nd Year,6,6.2,1.6,0,28
67,21,Other,1st Year,7.3,4,2.7,5,42
